2019/10/25 09:50:59:224,1571964659224,52
2019/10/25 09:50:59:226,1571964659226,52
2019/10/25 09:50:59:227,1571964659227,52
2019/10/25 09:50:59:230,1571964659230,52
2019/10/25 09:50:59:232,1571964659232,52
2019/10/25 09:50:59:234,1571964659234,52
2019/10/25 09:50:59:235,1571964659235,52
2019/10/25 09:50:59:237,1571964659237,52
2019/10/25 09:50:59:240,1571964659240,52
2019/10/25 09:50:59:241,1571964659241,52
2019/10/25 09:50:59:244,1571964659244,52
2019/10/25 09:50:59:246,1571964659246,52
2019/10/25 09:50:59:247,1571964659247,52
2019/10/25 09:50:59:249,1571964659249,52
2019/10/25 09:50:59:251,1571964659251,52
2019/10/25 09:50:59:253,1571964659253,52
2019/10/25 09:50:59:256,1571964659256,52
2019/10/25 09:50:59:257,1571964659257,52
2019/10/25 09:50:59:259,1571964659259,52
2019/10/25 09:50:59:261,1571964659261,52
2019/10/25 09:50:59:262,1571964659262,52
2019/10/25 09:50:59:265,1571964659265,52
2019/10/25 09:50:59:267,1571964659267,52
2019/10/25 09:50:59:269,1571964659269,52
2019/10/25 09:50:59:270,1571964659270,52
2019/10/25 09:50:59:273,1571964659273,52
2019/10/25 09:50:59:275,1571964659275,52
2019/10/25 09:50:59:276,1571964659276,52
2019/10/25 09:50:59:279,1571964659279,52
2019/10/25 09:50:59:280,1571964659280,53
2019/10/25 09:50:59:282,1571964659282,53
2019/10/25 09:50:59:285,1571964659285,52
2019/10/25 09:50:59:286,1571964659286,52
2019/10/25 09:50:59:289,1571964659289,52
2019/10/25 09:50:59:290,1571964659290,52
2019/10/25 09:50:59:293,1571964659293,52
2019/10/25 09:50:59:295,1571964659295,52
2019/10/25 09:50:59:295,1571964659295,52
2019/10/25 09:50:59:297,1571964659297,52
2019/10/25 09:50:59:299,1571964659299,52
2019/10/25 09:50:59:301,1571964659301,52
2019/10/25 09:50:59:303,1571964659303,52
2019/10/25 09:50:59:305,1571964659305,52
2019/10/25 09:50:59:307,1571964659307,52
2019/10/25 09:50:59:309,1571964659309,52
2019/10/25 09:50:59:310,1571964659310,52
2019/10/25 09:50:59:313,1571964659313,52
2019/10/25 09:50:59:315,1571964659315,52
2019/10/25 09:50:59:318,1571964659318,52
2019/10/25 09:50:59:319,1571964659319,52
2019/10/25 09:50:59:320,1571964659320,52
2019/10/25 09:50:59:323,1571964659323,52
2019/10/25 09:50:59:324,1571964659324,52
2019/10/25 09:50:59:327,1571964659327,52
2019/10/25 09:50:59:328,1571964659328,52
